title,link,news_source
Indiana House GOP soundly defeats Dem edits to redistricting bill,https://news.google.com/read/CBMiswFBVV95cUxNNG5Jc1gwUjVmVTFlcFh5NktyRGR3WUNNUTFjNGpWWlJ5MW5vN3hOMjFVeDM4VG04bU9XRHZiNTAyVGpWc0pMWmFqTXQ1NUsxeHc1d2xNTWxFOGcyRnBib3Zqd3gwaEtZeWlUdV9kRFJpRWFocU43bjEwTEtxWkFzOTRNajBmOWNkZ2NqcmxQOWZwSXhjaWxWZFk1dDRHOEdTNXlsVjdkMzZDQUMxblhpOGdjTQ?hl=en-US&gl=US&ceid=US%3Aen,Indiana Capital Chronicle
Signing of the Washington Accords for Peace and Prosperity Between the Democratic Republic of the Congo and Rwanda,https://news.google.com/read/CBMijgJBVV95cUxNUnByYi1yYk15MjhQSG5KYnlqZUh0U21CUXhRT3ZtRkQ2TXd4YjJoaTZzaUlXVzlBWHoxcElXU0xLT1dKU2hpSVhUb2c1a3RScjUyWDBkenRjMGdjQ0ZDazAyV2RKUVo1RE1VUzltMWxReU96eE1CX3RLUUpTcDAxM1lWZWMzMkFuUV83Y2dQenNJMlVkT1h6elZ2UGlYRGY2ajhtU1c1bGJMUlJWNHZfVkJ4MTRCNnF4ZlVIYmhPWGRreTJ1eUxvSkVEb29uM3JvU0dlaTRZaU1PSThDMHVHV0VFNkdCUGlNU3hOTEVxOFVXYlpaQjFJSlYyQjZ6THFKRHhhZGp0VjgtUHZzR0E?hl=en-US&gl=US&ceid=US%3Aen,U.S. Department of State (.gov)
"HONORING THE MEMORY OF SPECIALIST SARAH BECKSTROM, WEST VIRGINIA ARMY NATIONAL GUARD",https://news.google.com/read/CBMi1wFBVV95cUxQbjU1c1BQaVphSnVSOENxc2VwMTk1VGVhS1dTVXFMaGRDb2s4d0VrNXpKRnpzTVFkQVZpSXdtcW1Xb1dRX0djeUVEMHc4NXVxa0xreklCbG9BcUF4MmtmNXJwU1VLY09xUHVwMkNLTUZVcDBjN00tNV9DaWd2WnFUWURyamNHZ1BlZFV6VEk3eTJtbUpRcUZycWk5NU9BbDdPakRXYzBmVXMzNmVlME1FTDh6cC1sUjB6MHJqVmdUVW52cWlCOHZDakkxQjd3dzUtZnh1dktRaw?hl=en-US&gl=US&ceid=US%3Aen,The White House (.gov)
Brian Walshe murder trial: Man who had affair with Walshe's wife testifies,https://news.google.com/read/CBMimgFBVV95cUxPdUM2UjV4Z2ZEQ3ZhaTJQZkF3ZXZJRDFpRGRRNWhEMGhRbG9XQWFQWnRLRmVPcE5QRnk3SXJaRTR4UGVpS3J0dkdDUTFmVlR1UzJPVm9meWdXeUstYXhwNEVVaEtUNW51VGVIUFQ2M0hjNFlzQ0kyS0hwdVM3SWFDRGo2MFJoOWE1VTNoSUh0REZUQUw4aVlKQTNR0gGfAUFVX3lxTFBZcUcxY0JGcHJzcEhVUjdtQXpyQlRQMllHbk41N2Jjb2hrbzZsZEJNVXFZd3NvVXh2ZHZvOFk4Q21LMDYzTjVvdktCa1JzWHJ1YzJMd0pWQm00a29QQzR6Z2VXaGxqS3gtSFdXWGNZRnI4dXp4SEp6aXplMTVTblMzTmctTGVkelFNanJrOVlSSnpVUkU1NG9melE4clZxYw?hl=en-US&gl=US&ceid=US%3Aen,ABC News
Trump’s Approval Rating Dips as Views of His Handling of the Economy Sour,https://news.google.com/read/CBMifkFVX3lxTE0wRE5VV2hnUDBGeGh4T3ZKY0hrTDB0YUtHbm1hRnZFMmpQMUpILVRNdmRUWFJTQkJMLTFpR0ktWm5sVEtVOHhOaEJFcnNLSWQyU0xTbFFmbjVqbVBhQTRDdE15SGxDYXh4YTd1ekdfTktUbWRkb195X0h4Y3Iydw?hl=en-US&gl=US&ceid=US%3Aen,The New York Times
Putin says there are points he can't agree to in the U.S. proposal to end Ukraine war,https://news.google.com/read/CBMiiAFBVV95cUxQSVZNQ1dtbXhya3RKdlJKdGVEN3ZBdGF5Q1lCb2MtZy0wU1daeGc0SnVUVXhURTdUb0g2V2tWTFZyc1dfYlRlQUFER3lLZFJuTlB3WjR0d0pTYlhRckN2RWdEbUpRb09zeTZ5Uk9qcDk5OTFKSDFGU2FiWXdSNVlWdWxsTXlXd1NN?hl=en-US&gl=US&ceid=US%3Aen,NPR
"Trump limits work permit access for migrants, after National Guard shooting",https://news.google.com/read/CBMihgFBVV95cUxOZlpOMEdpa3pfUUtSRk45OWRpbE5scUs3V2tBU0ZtTElxZ092SHZvN1ViSjA1VG5SVG84dFlsYmNYWEhlaEs4QTd0UnlweU9lcUFwY01HdndJVkQ0eEMya3ZiVlBOaXp4LTZTQmVFSGZtUEk3Z0VfajczVkd3VVpJYjFjUVZfUQ?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post
"National Guard can stay in D.C. for now, appeals court says",https://news.google.com/read/CBMigAFBVV95cUxQYW5Mb1YzNHl1SGphV245M0hHR21ud1VNWGotSmo1cVU2RXM3bTVOZVpYYUYxQ1VyNHpMZnNHbzI1bWZGNi1ZYlJsaTF6SFVSWElSdE9xVHBYclBCUHBCcTZIYXliOFZJanM3eXhKQmZRMFhRb2RickJuMWpldjZMYw?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post
"‘There is no Mamdani effect’: Manhattan luxury home sales surge after mayoral election, undercutting predictions of doom and escape to Florida",https://news.google.com/read/CBMitgFBVV95cUxQek8zbXBMc3FDdzhEOEFaeUdOT0lBVm5sZ1BCSDJIQjdKeHBNRUhsZ2NyT0N2alZkdHVuT0tpOWw3dlIyNGNPblF1My04c0trUXRHVl9TbVpaaEJndHYxV2hwSFdsaHlQNURQeWc0RHRuR1c5bVNpalEtVTlqSFd6UUdDR0xOOFB4b0xSZEcycktFNG5EU0hGVkFub0JJNHVQSUd3aHVnWUZGUDFEcEY0b0JlSEZLUQ?hl=en-US&gl=US&ceid=US%3Aen,Fortune
"Federal judge blocks imminent State Dept layoffs, as unions seek to reverse RIFs at other agencies",https://news.google.com/read/CBMi4wFBVV95cUxOV3d4aXJkRkgzWXVIYmFENDBzbVZxSEhyQm9VVkJhd2sxVFUxeUNiNUwwTFpFSFNRNmg2R3dMUnB5Q1h6UzdoZUlpVW8wQ0JkcGJjdWdKRm5fZUxIVnA4Mlczcko5TTNFcTloRVFTeExVUFdOa3p4RS1FNGxTXzJaRlNDT0lTdkQtcXpEUmlDYmJ1QVBRUnoyd0FSVGhzSGpUT2o3OEo2UHFueUhTNk5UNEt0enlsaXVXSlNCOE5xWGI5WGZfNmFYTXRUZjFyRU40OXlIRTNWOTBITGF1VTY1a0hrOA?hl=en-US&gl=US&ceid=US%3Aen,Federal News Network
Putin says there are points in the U.S. proposal on Ukraine war that he can’t agree with,https://news.google.com/read/CBMivgFBVV95cUxNcGlvVnFNVFgwNERsUkh0N2dHVS1Vdk9ZaFphdDE2RjFncEVhOGtISk1TRmVZOTFHUUxCZG9LenhoU291LVNXTzZWa1NDZkFHVGo3NDJHN0dwUFJJQ2RIRXZIV19uaWhHN1FSSVd3dTBndFV4YkR6cVROX0dwS3pzMDBPMzZaSFkwYnREc09FX1l5VVlWN0N1YjE3WVJJUERXTU1tQjhlX2o0M0VMUHh6WHhTdXQyRzJZUjh0c2pR0gHDAUFVX3lxTFB5ZEFuZmpFdE5TS3IyODVjQzBBU0ZHOTlnZGVmYzYyYUJLSldmLVNlZVpxRXJFMzF5VHJCQWdpLXJzbU41Y09VT0c2NlAxNFZDeTdmaHFmZjVDbHdrUnp0dnNEYUF4OVhDWXltWTB5d2NQd0c3dm1mUTRDZml4V3B1aEVKV21WU095ZHN4Nk5UYXFwTjU2YVE4X3o5d29hZ1VhbVJ3RTV4S213YWd2ZkR5OF9Mekp3MU44dFBqRkNCblpiOA?hl=en-US&gl=US&ceid=US%3Aen,PBS
Florida House barrels ahead on redistricting despite DeSantis' proposed timeline,https://news.google.com/read/CBMiyAFBVV95cUxPQ0JscmJLRXpYMndsWjJSZGlSdHl6bmx5VjljQkdlMG83SEViUTJUWU9Hb3pZZF9KTVdqdWlCRF9adDlHWEJjSlFSVjJJbDIxMUM5cFNtWkJlS0hCLXU4R2c0dU80ZWU4WWc1SVQxc1VqdE43c0VMU1I1OG56RFYwZEl3YTFfa3dwNXZiM2gtVVotYnZDWlp2d291azBramtRdzQwTldyUTdHQmhsREF4Q1d1X2tPTk5ZbWpJTHc3NmJvUlhQX1ZNRA?hl=en-US&gl=US&ceid=US%3Aen,Politico
"Flags fly at half-staff in Colorado on Thursday, Friday and Saturday",https://news.google.com/read/CBMimAFBVV95cUxQd0U2MDRfYWx2LVQtZ01ybE91QmJybmZjUzI4WldIMVloQjZQcjZnQVFGdEpOeFZmV0VxWDVKT2JJYWw4alJ2RkxmeGNlVFlEQTd5SFplX3RGd0YzR0Roazc2ZEFYMkw3bUVESXlGd1V4d3E2MldnNm12T0hIUGVEajFnTzFGLWxBbERJMG9kVU5NSmpIN01nTQ?hl=en-US&gl=US&ceid=US%3Aen,CBS News
Appeasing the administration hasn’t worked. The Times is suing instead,https://news.google.com/read/CBMinwFBVV95cUxOOHAtMk9Ld0UwNGk5aVhEeDlhc2JUN1Z4RVltanZwQzBtU3EtNFZpZGw2WlYtd3hTX21DbVk1VmxDQjltUmpKZ3lHSUFEN3drU1NXMGtaaDJWLVNxWENDRzVYOHBsVkhDaHo3Q3pZWHBBdXFoY2p5dVZ0VGI3RlNkWGJTa0YyUVFueXkydlBQeDNBMVA2cDhsa0k5Tjd0QlU?hl=en-US&gl=US&ceid=US%3Aen,Freedom of the Press Foundation
Halle Berry declares Gavin Newsom 'should not be our next president' after he vetoed menopause care bill,https://news.google.com/read/CBMixwFBVV95cUxNbkJ3X1gwXzFWUjVHb1JhWWI2cGxPenlUUDEtUjJCYnpzanNIa2hiUHg2NFltai1wY2REUF9CeGxNMjludEwwNnFHZmtBM2otXzNCMHV5OEFYTUtQYXdnb01EMXZCWExSV2p1ZDZxYk1kN1RxQ01obFJUNUZ5SHlVUmRFRkJHU3ViRnRFTkZmYzRlOW5udUxES05zV21kSnJQVWdyRWdfV1FjR0RxREkzOHgwSldEcGZvVktyeVB6YVAyamhNcDZR?hl=en-US&gl=US&ceid=US%3Aen,Los Angeles Times
Examining Trump's Pardon of Former Honduran President Convicted of Trafficking Drugs to U.S.,https://news.google.com/read/CBMiwwFBVV95cUxOd1dnYTR1ZDdRTnJ3R01JYmRTakUwVXd4OE5QUnk2Qko0alRJSUNTcXhGX0hnOHMwc29WQWNjcFd4dmhaTjctYlA0ZmFOZURrRUVSa2swWnR0MmFZWGlNOEVjSnlIQW5rQTVRamZYM3FTOFUwUHhyLUFEMXFFcDJOZ3FKYjcxNnNyaGh2UUdJX1RncjZ1R2x3T3c4MFhUSW5TTUZIU3J6dlZsbXpDVFA3OENaVXFrM3RrVm1CeHF5bmNKMDA?hl=en-US&gl=US&ceid=US%3Aen,FactCheck.org
Family of woman who went missing in Northern Colorado says her body was found,https://news.google.com/read/CBMiigFBVV95cUxNTVA5RC1TMDdXdWVBR3E0UHN6NVRJOEphSnBJR1F6ZlhVWGhDbVNvYW1nRzlxYlRLSmJQcXp6N2hqb1QyUHFTUk5SZ0JYYTREMzFZemJmc3VJYUYxMnV3WUJ4Q0R2RUgtM2duSkNIQ19CbmJNMGdMWTYyYXFmel9JclM5VS1QeC1nMmc?hl=en-US&gl=US&ceid=US%3Aen,CBS News
Justice Department urges judge to jail former Jan. 6 defendant after alarming return to DC,https://news.google.com/read/CBMi1gFBVV95cUxPTlN6MDQyanA3a2lKX2FIc0RFcDY0NFdyU3BmWG8wTTF3NmlNM0xGY2pnWnM3RjM1UDZyanVOVEJNQVN0OXVJOVlmaHk4SUF2X255bWRmck9pb0dySVdKbGN5MFhwbzZrZ0l1M2ZycVRSdE9md0xBbFFBRkt5WWhCRVpBejl1SHNyMHgxaEh3WDhsM01WYmhGR3BZaW9Jc3M0QUQ0S29pUnFXNGpBN21HSTlrV3VITmVOY0IycHJUUU9ldHhwZF9XYmtOc0hjcVhKcW9EYnlR?hl=en-US&gl=US&ceid=US%3Aen,Politico
